Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1967,NBA,1,6,Al Tucker,Oklahoma Baptist University,257,5348,2431,1283,230,.453,,.702,20.8,9.5,5.0,0.9,7.2,.065,,
1967,NBA,2,19,Bob Rule,Colorado State,403,11862,7007,3333,594,.461,,.686,29.4,17.4,8.3,1.5,22.7,.092,-3.1,-0.2
1967,NBA,3,30,Sam Singleton,Nebraska-Omaha,,,,,,,,,,,,,,,,
1967,NBA,4,43,Larry Bunce,Utah State University,,,,,,,,,,,,,,,,
1967,NBA,5,54,Plummer Lott,Seattle University,67,638,147,123,43,.294,,.583,9.5,2.2,1.8,0.6,-1.3,-0.101,,
1967,NBA,6,67,Gordon Harris,Washington,,,,,,,,,,,,,,,,
1967,NBA,7,78,Dick Kolberg,UC Santa Barbara,,,,,,,,,,,,,,,,
1967,NBA,8,91,Willie Wolters,Boston College,,,,,,,,,,,,,,,,
1967,NBA,9,101,Roderick McDonald,Whitworth,,,,,,,,,,,,,,,,
1967,NBA,10,113,Gary Lechman,Gonzaga,,,,,,,,,,,,,,,,
1967,NBA,11,122,Randy Matson,Texas A&M,,,,,,,,,,,,,,,,
1967,NBA,12,133,Rubin Russell,University of North Texas,,,,,,,,,,,,,,,,
1967,NBA,13,140,John Schroeder,Ohio University,,,,,,,,,,,,,,,,
1967,NBA,14,147,Jim Sutherland,Clemson,,,,,,,,,,,,,,,,
1967,NBA,15,152,Willie Campbell,Nebraska,,,,,,,,,,,,,,,,
