Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2022,NBA,1,11,Ousmane Dieng (↳OKC),,49,682,229,125,55,.414,.268,.667,13.9,4.7,2.6,1.1,0.6,.039,-3.5,-0.3
2022,NBA,2,42,Trevor Keels,Duke,3,8,3,2,0,.250,.250,,2.7,1.0,0.7,0.0,0.0,-0.062,-13.0,0.0
2021,NBA,1,19,Kai Jones (↳CHO),Texas,67,613,179,134,19,.567,.238,.647,9.1,2.7,2.0,0.3,0.7,.056,-4.3,-0.4
2021,NBA,1,21,Keon Johnson (↳LAC),Tennessee,77,1112,456,125,135,.362,.343,.739,14.4,5.9,1.6,1.8,-0.9,-0.041,-5.7,-1.0
2021,NBA,2,32,Jeremiah Robinson-Earl (↳OKC),Villanova,98,1987,692,471,96,.432,.353,.790,20.3,7.1,4.8,1.0,3.5,.086,-1.9,0.1
2021,NBA,2,58,Jericho Sims,Texas,99,1385,271,420,47,.755,.000,.521,14.0,2.7,4.2,0.5,4.1,.143,-1.0,0.3
2020,NBA,1,8,Obi Toppin,Dayton,212,3213,1520,629,178,.501,.324,.771,15.2,7.2,3.0,0.8,8.2,.122,0.4,1.9
2020,NBA,1,23,Leandro Bolmaro (↳MIN),,49,309,56,50,28,.270,.227,.846,6.3,1.1,1.0,0.6,-0.3,-0.048,-7.8,-0.5
2019,NBA,1,3,RJ Barrett,Duke,279,9351,5073,1496,794,.424,.347,.713,33.5,18.2,5.4,2.8,8.9,.046,-2.3,-0.6
2019,NBA,2,55,Kyle Guy (↳SAC),Virginia,53,431,165,53,50,.361,.303,.750,8.1,3.1,1.0,0.9,0.1,.006,-4.9,-0.3
2018,NBA,1,9,Kevin Knox,Kentucky,278,5045,2094,818,208,.388,.345,.713,18.1,7.5,2.9,0.7,0.6,.006,-4.3,-3.0
2018,NBA,2,36,Mitchell Robinson,,302,7451,2458,2426,188,.706,,.523,24.7,8.1,8.0,0.6,32.8,.212,2.2,8.0
2017,NBA,1,8,Frank Ntilikina,,316,5411,1530,557,689,.371,.323,.760,17.1,4.8,1.8,2.2,0.4,.004,-4.4,-3.2
2017,NBA,2,44,Damyean Dotson,Oregon,213,4242,1594,532,315,.417,.345,.711,19.9,7.5,2.5,1.5,3.0,.034,-2.8,-0.9
2017,NBA,2,58,Ognjen Jaramaz,,,,,,,,,,,,,,,,,
2015,NBA,1,4,Kristaps Porziņģis,,413,12843,8087,3269,735,.455,.359,.828,31.1,19.6,7.9,1.8,36.6,.137,2.2,13.8
2014,NBA,2,34,Cleanthony Early,Wichita State,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8
2014,NBA,2,51,Thanasis Antetokounmpo,,169,1404,455,296,102,.504,.145,.537,8.3,2.7,1.8,0.6,1.8,.062,-4.3,-0.8
