Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1983,NBA,4,87,Barney Mines,Bradley,,,,,,,,,,,,,,,,
1983,NBA,5,110,Tyren Naulls,Texas A&M,,,,,,,,,,,,,,,,
1983,NBA,6,133,Oscar Taylor,New Orleans,,,,,,,,,,,,,,,,
1983,NBA,7,156,Keith Bennett,Sacred Heart University,,,,,,,,,,,,,,,,
1983,NBA,8,179,Joe Myers,Duquesne,,,,,,,,,,,,,,,,
1983,NBA,9,201,Kevin Black,Rutgers University,,,,,,,,,,,,,,,,
1983,NBA,10,222,Rich Simkus,Princeton,,,,,,,,,,,,,,,,
1982,NBA,1,13,Sleepy Floyd,Georgetown,957,26383,12260,2494,5175,.444,.324,.815,27.6,12.8,2.6,5.4,50.6,.092,0.5,16.6
1982,NBA,1,21,Eddie Phillips,Alabama,48,416,152,77,29,.406,.000,.678,8.7,3.2,1.6,0.6,0.1,.011,-4.7,-0.3
1982,NBA,3,59,Jimmy Black,UNC,,,,,,,,,,,,,,,,
1982,NBA,4,80,James Griffin,Illinois,,,,,,,,,,,,,,,,
1982,NBA,4,82,Tony Brown,Arkansas,360,6006,2163,766,563,.437,.259,.719,16.7,6.0,2.1,1.6,4.9,.039,-2.8,-1.2
1982,NBA,5,105,Chris Giles,UAB,,,,,,,,,,,,,,,,
1982,NBA,6,128,Mel Daniel,Furman University,,,,,,,,,,,,,,,,
1982,NBA,7,151,Tony Anderson,UCLA,,,,,,,,,,,,,,,,
1982,NBA,8,174,Otis Jackson,Memphis,,,,,,,,,,,,,,,,
1982,NBA,9,197,Gary Johnson,Oral Roberts,,,,,,,,,,,,,,,,
1982,NBA,10,218,Sean Tuohy,Ole Miss,,,,,,,,,,,,,,,,
1981,NBA,1,3,Buck Williams,Maryland,1307,42464,16784,13017,1646,.549,.167,.664,32.5,12.8,10.0,1.3,120.1,.136,0.0,21.7
1981,NBA,1,10,Albert King,Maryland,534,12836,6470,2262,1171,.461,.268,.791,24.0,12.1,4.2,2.2,16.3,.061,-1.7,1.1
1981,NBA,1,18,Ray Tolbert,Indiana,261,2789,928,609,135,.495,.000,.544,10.7,3.6,2.3,0.5,2.9,.051,-3.0,-0.7
1981,NBA,3,49,David Burns,Saint Louis,9,87,23,5,15,.438,,.600,9.7,2.6,0.6,1.7,-0.1,-0.071,-5.0,-0.1
1981,NBA,4,72,Edmund Sherod,VCU,64,1624,395,149,311,.406,.077,.650,25.4,6.2,2.3,4.9,2.5,.073,0.8,1.1
1981,NBA,5,95,Joe Cooper,Colorado,24,389,109,97,19,.506,,.543,16.2,4.5,4.0,0.8,0.3,.037,-2.8,-0.2
1981,NBA,6,118,Kevin Lynam,La Salle,,,,,,,,,,,,,,,,
1981,NBA,7,141,Rod Roberson,Northwestern,,,,,,,,,,,,,,,,
1981,NBA,8,164,Ken Webb,Fairleigh Dickinson University,,,,,,,,,,,,,,,,
1981,NBA,9,186,Rudy Williams,Providence,,,,,,,,,,,,,,,,
1981,NBA,10,206,Vic Sison,UCLA,,,,,,,,,,,,,,,,
1980,NBA,1,6,Mike O'Koren,UNC,407,8810,3355,1391,856,.490,.271,.651,21.6,8.2,3.4,2.1,14.6,.080,-0.6,3.1
1980,NBA,1,7,Mike Gminski,Duke,938,24058,10953,6480,1203,.465,.122,.843,25.6,11.7,6.9,1.3,55.9,.111,0.1,12.9
1980,NBA,3,52,Lowes Moore,West Virginia,112,2118,752,227,316,.442,.200,.750,18.9,6.7,2.0,2.8,1.5,.035,-2.7,-0.3
