Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1986,NBA,1,15,Dell Curry,Virginia Tech,1083,23549,12670,2617,1909,.457,.402,.843,21.7,11.7,2.4,1.8,41.5,.085,0.9,17.1
1986,NBA,3,61,John Shasky,Minnesota,136,1505,517,379,34,.466,.000,.655,11.1,3.8,2.8,0.3,2.5,.079,-3.4,-0.5
1986,NBA,3,63,Bill Breeding,Rocky Mountain College,,,,,,,,,,,,,,,,
1986,NBA,4,84,Marty Embry,DePaul,,,,,,,,,,,,,,,,
1986,NBA,5,107,Kerry Boagni,Cal State Fullerton,,,,,,,,,,,,,,,,
1986,NBA,6,130,Chuck Everson,Villanova,,,,,,,,,,,,,,,,
1986,NBA,7,153,Mark Mitchell,University of Hartford,,,,,,,,,,,,,,,,
1985,NBA,1,13,Karl Malone,Louisiana Tech,1476,54852,36928,14968,5248,.516,.274,.742,37.2,25.0,10.1,3.6,234.6,.205,5.1,99.0
1985,NBA,2,37,Carey Scurry,Long Island University,180,2376,847,524,192,.480,.250,.666,13.2,4.7,2.9,1.1,5.3,.107,1.7,2.2
1985,NBA,4,83,Delaney Rudd,Wake Forest,239,2357,816,184,519,.413,.257,.761,9.9,3.4,0.8,2.2,0.7,.014,-3.9,-1.2
1985,NBA,5,105,Ray Hall,Canisius,,,,,,,,,,,,,,,,
1985,NBA,6,129,Jim Miller,Virginia,,,,,,,,,,,,,,,,
1985,NBA,7,151,Mike Wacker,Texas,,,,,,,,,,,,,,,,
1984,NBA,1,16,John Stockton,Gonzaga,1504,47764,19711,4051,15806,.515,.384,.826,31.8,13.1,2.7,10.5,207.7,.209,6.8,106.5
1984,NBA,3,62,David Pope,Norfolk State,33,203,62,29,9,.356,.500,.529,6.2,1.9,0.9,0.3,-0.1,-0.026,-8.1,-0.3
1984,NBA,4,86,Jim Rowinski,Purdue,23,127,57,34,5,.417,,.844,5.5,2.5,1.5,0.2,0.3,.113,-3.9,-0.1
1984,NBA,5,108,Marcus Gaither,Fairleigh Dickinson University,,,,,,,,,,,,,,,,
1984,NBA,6,132,Chris Harrison,West Virginia Wesleyan College,,,,,,,,,,,,,,,,
1984,NBA,7,154,Bob Evans,Southern Utah University,,,,,,,,,,,,,,,,
1984,NBA,8,178,Eric Booker,UNLV,,,,,,,,,,,,,,,,
1984,NBA,9,199,Kelly Knight,Kansas,,,,,,,,,,,,,,,,
1984,NBA,10,222,Mike Curran,Niagara University,,,,,,,,,,,,,,,,
1983,NBA,1,7,Thurl Bailey,NC State,928,24873,11834,4718,1298,.473,.114,.812,26.8,12.8,5.1,1.4,45.0,.087,-0.9,6.9
1983,NBA,3,54,Bob Hansen,Iowa,575,11104,3952,1282,947,.468,.323,.662,19.3,6.9,2.2,1.6,15.4,.066,-2.4,-1.2
1983,NBA,4,76,Doug Arnold,TCU,,,,,,,,,,,,,,,,
1983,NBA,5,100,Matt Clark,Oklahoma State,,,,,,,,,,,,,,,,
1983,NBA,6,122,Fred Gilliam,Clemson,,,,,,,,,,,,,,,,
1983,NBA,7,146,Gerald Kazanowski,,,,,,,,,,,,,,,,,
1983,NBA,8,168,Michael McCombs,College of Santa Fe,,,,,,,,,,,,,,,,
1983,NBA,9,191,Ron Webb,Oklahoma Christian University,,,,,,,,,,,,,,,,
1983,NBA,10,211,Odell Mosteller,Auburn,,,,,,,,,,,,,,,,
1982,NBA,1,3,Dominique Wilkins (↳ATL),Georgia,1074,38113,26668,7169,2677,.461,.319,.811,35.5,24.8,6.7,2.5,117.5,.148,3.3,50.6
1982,NBA,3,49,Steve Trumbo,BYU,,,,,,,,,,,,,,,,
1982,NBA,3,55,Jerry Eaves,Louisville,168,2685,1132,208,414,.472,.071,.773,16.0,6.7,1.2,2.5,2.6,.046,-3.2,-0.8
1982,NBA,4,72,Mark Eaton,UCLA,875,25169,5216,6939,840,.458,.000,.649,28.8,6.0,7.9,1.0,44.8,.085,-0.1,11.8
1982,NBA,5,95,Mike McKay,UConn,,,,,,,,,,,,,,,,
1982,NBA,6,118,Alvin Jackson,Southern University and A&M College,,,,,,,,,,,,,,,,
1982,NBA,7,141,Thad Garner,Michigan,,,,,,,,,,,,,,,,
1982,NBA,8,164,Rick Campbell,Middle Tennessee,,,,,,,,,,,,,,,,
1982,NBA,9,187,Riley Clarida,Long Island University,,,,,,,,,,,,,,,,
1982,NBA,10,208,Michael Edwards,New Orleans,,,,,,,,,,,,,,,,
1981,NBA,1,13,Danny Schayes,Syracuse,1138,21975,8780,5671,1299,.481,.133,.806,19.3,7.7,5.0,1.1,48.8,.107,-2.0,-0.1
1981,NBA,2,27,Howard Wood,Tennessee,42,342,144,65,9,.458,.000,.654,8.1,3.4,1.5,0.2,0.3,.049,-3.6,-0.1
1981,NBA,4,73,Georgie Torres,Southern Nazarene University,,,,,,,,,,,,,,,,
1981,NBA,5,97,Mike Clark,Oregon,,,,,,,,,,,,,,,,
1981,NBA,6,119,Kevin Sprewer,Loyola Chicago,,,,,,,,,,,,,,,,
1981,NBA,7,143,Mike Robinson,Central Michigan University,,,,,,,,,,,,,,,,
1981,NBA,8,165,Bobby Cattage,Auburn,78,522,242,107,11,.404,.143,.765,6.7,3.1,1.4,0.1,0.3,.027,-6.3,-0.6
1981,NBA,9,188,Ken Ollie,Wyoming,,,,,,,,,,,,,,,,
1981,NBA,10,207,Joe Merten,University of Wisconsin-Eau Claire,,,,,,,,,,,,,,,,
1980,NBA,1,2,Darrell Griffith,Louisville,765,21403,12391,2519,1627,.463,.332,.707,28.0,16.2,3.3,2.1,22.0,.049,-1.4,3.4
1980,NBA,1,19,John Duren,Georgetown,201,2947,712,226,411,.435,.120,.750,14.7,3.5,1.1,2.0,-0.8,-0.014,-5.4,-2.5
