Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1984,NBA,8,167,Jim McLoughlin,Temple,,,,,,,,,,,,,,,,
1984,NBA,9,189,Dave Schultz,Westmont College,,,,,,,,,,,,,,,,
1984,NBA,10,211,Dick Mumma,Penn State,,,,,,,,,,,,,,,,
1983,NBA,1,4,Byron Scott (↳LAL),Arizona State,1073,30152,15097,2987,2729,.482,.370,.833,28.1,14.1,2.8,2.5,75.2,.120,0.8,21.0
1983,NBA,5,97,Manute Bol,,624,11698,1599,2647,171,.407,.210,.561,18.7,2.6,4.2,0.3,12.3,.051,-0.5,4.5
1983,NBA,7,143,Dan Evans,Oregon State,,,,,,,,,,,,,,,,
1983,NBA,8,166,Mark Gannon,Iowa,,,,,,,,,,,,,,,,
1983,NBA,9,188,David Maxwell,Fordham,,,,,,,,,,,,,,,,
1983,NBA,10,209,Keith Smith,San Diego State,,,,,,,,,,,,,,,,
1982,NBA,1,2,Terry Cummings,DePaul,1183,33898,19460,8630,2190,.484,.295,.706,28.7,16.4,7.3,1.9,91.1,.129,0.6,22.5
1982,NBA,2,32,Richard Anderson,UC Santa Barbara,407,6002,2260,1418,611,.412,.333,.762,14.7,5.6,3.5,1.5,7.6,.061,-1.1,1.4
1982,NBA,3,48,Craig Hodges,Cal State Long Beach,695,15077,5940,937,1769,.461,.400,.828,21.7,8.5,1.3,2.5,27.2,.087,-0.9,4.0
1982,NBA,4,71,Darius Clemons,Loyola Chicago,,,,,,,,,,,,,,,,
1982,NBA,5,94,Gary Carter,Tennessee,,,,,,,,,,,,,,,,
1982,NBA,6,117,Eric Marbury,Georgia,,,,,,,,,,,,,,,,
1982,NBA,7,140,Eddie Hughes,Colorado State,97,1158,296,93,159,.416,.364,.692,11.9,3.1,1.0,1.6,1.5,.060,-2.3,-0.1
1982,NBA,8,163,Jacques Tuz,Colorado,,,,,,,,,,,,,,,,
1982,NBA,9,186,John Hegwood,San Francisco,,,,,,,,,,,,,,,,
1982,NBA,10,207,Daryl Stovall,Creighton,,,,,,,,,,,,,,,,
1981,NBA,1,8,Tom Chambers,Utah,1107,33922,20049,6703,2283,.468,.307,.807,30.6,18.1,6.1,2.1,79.0,.112,-0.6,12.0
1981,NBA,3,54,Jim Smith,Ohio State,76,876,219,187,46,.514,,.461,11.5,2.9,2.5,0.6,0.7,.037,-3.1,-0.2
1981,NBA,4,77,Lee Raker,Virginia,,,,,,,,,,,,,,,,
1981,NBA,5,100,Dennis Isbell,Memphis,,,,,,,,,,,,,,,,
1981,NBA,6,123,Mike Pepper,UNC,,,,,,,,,,,,,,,,
1981,NBA,7,146,Randy Johnson,University of Southern Colorado,,,,,,,,,,,,,,,,
1981,NBA,8,168,Todd Haynes,Davidson,,,,,,,,,,,,,,,,
1981,NBA,9,190,Art Jones,NC State,,,,,,,,,,,,,,,,
1981,NBA,10,210,Tony Gwynn,San Diego State,,,,,,,,,,,,,,,,
1980,NBA,1,9,Michael Brooks,La Salle,319,9372,4086,2001,818,.486,.152,.714,29.4,12.8,6.3,2.6,16.5,.085,-0.1,4.6
1980,NBA,4,76,Ed Odom,Oklahoma State,,,,,,,,,,,,,,,,
1980,NBA,5,99,Wally Rank,San Jose State,25,153,55,30,17,.368,,.464,6.1,2.2,1.2,0.7,-0.4,-0.140,-7.5,-0.3
1980,NBA,6,122,Londale Theus,Santa Clara,,,,,,,,,,,,,,,,
1980,NBA,7,145,Paul Anderson,Vanguard University of Southern California,,,,,,,,,,,,,,,,
1979,NBA,3,55,Tom Channel,Boston University,,,,,,,,,,,,,,,,
1979,NBA,4,77,Lionel Garrett,Southern University and A&M College,,,,,,,,,,,,,,,,
1979,NBA,5,99,Greg Joyner,Middle Tennessee,,,,,,,,,,,,,,,,
1979,NBA,6,119,Bob Bender,Duke,,,,,,,,,,,,,,,,
1979,NBA,7,139,Jene Grey,LeMoyne College,,,,,,,,,,,,,,,,
1979,NBA,8,158,Renaldo Lawrence,Appalachian State University,,,,,,,,,,,,,,,,
1979,NBA,9,176,Mike Dodd,San Diego State,,,,,,,,,,,,,,,,
1979,NBA,10,194,Greg Hunter,Loyola Marymount,,,,,,,,,,,,,,,,
1978,NBA,2,41,Jerome Whitehead,Marquette,679,11828,4423,3268,374,.497,,.718,17.4,6.5,4.8,0.6,16.4,.067,-3.7,-5.1
1978,NBA,3,48,Mike Santos,Utah State University,,,,,,,,,,,,,,,,
1978,NBA,3,51,Ricky Gallon,Louisville,,,,,,,,,,,,,,,,
1978,NBA,3,65,Marvin Delph,Arkansas,,,,,,,,,,,,,,,,
1978,NBA,4,68,Jim Boylan,Marquette,,,,,,,,,,,,,,,,
1978,NBA,4,73,Larry Harris,Pitt,,,,,,,,,,,,,,,,
1978,NBA,4,76,Leroy McDonald,Wake Forest,,,,,,,,,,,,,,,,
1978,NBA,5,90,David Thompson,Florida State,,,,,,,,,,,,,,,,
1978,NBA,6,112,Bob Misevicius,Providence,,,,,,,,,,,,,,,,
1978,NBA,7,133,Stan Pietkiewicz,Auburn,96,1070,376,93,174,.458,,.806,11.1,3.9,1.0,1.8,1.5,.066,-0.3,0.4
1978,NBA,8,154,Felton Young,Jacksonville University,,,,,,,,,,,,,,,,
1978,NBA,9,172,Bobby White,Centenary (LA),,,,,,,,,,,,,,,,
1977,NBA,2,24,Larry Johnson (↳BUF),Kentucky,4,38,6,5,7,.231,,.000,9.5,1.5,1.3,1.8,-0.1,-0.099,-2.9,0.0
1977,NBA,4,68,Melvin Watkins,UNC Charlotte,,,,,,,,,,,,,,,,
1977,NBA,5,90,Mike Hanley,Niagara University,,,,,,,,,,,,,,,,
1977,NBA,6,112,Curvan Lewis,Virginia Union University,,,,,,,,,,,,,,,,
1977,NBA,7,133,Mike Jackson,Tennessee,,,,,,,,,,,,,,,,
