Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1999,NBA,1,8,Andre Miller,Utah,1304,40268,16278,4795,8524,.461,.217,.807,30.9,12.5,3.7,6.5,100.8,.120,1.3,33.4
1999,NBA,1,11,Trajan Langdon,Duke,119,1738,647,159,152,.416,.396,.910,14.6,5.4,1.3,1.3,2.9,.079,-1.1,0.4
1999,NBA,2,39,A.J. Bramlett,Arizona,8,61,8,22,0,.190,,,7.6,1.0,2.8,0.0,-0.2,-0.129,-15.9,-0.2
1998,NBA,2,48,Ryan Stack,South Carolina,43,397,99,79,10,.352,.000,.787,9.2,2.3,1.8,0.2,0.2,.028,-6.7,-0.5
1997,NBA,1,13,Derek Anderson,Kentucky,615,17975,7357,1988,2083,.408,.341,.853,29.2,12.0,3.2,3.4,43.9,.117,1.0,13.5
1997,NBA,1,16,Brevin Knight,Stanford,729,18176,5342,1785,4481,.412,.134,.789,24.9,7.3,2.4,6.1,32.6,.086,0.3,10.5
1997,NBA,2,45,Cedric Henderson,Memphis,260,6182,1885,755,419,.436,.140,.715,23.8,7.3,2.9,1.6,3.3,.026,-2.8,-1.3
1996,NBA,1,12,Vitaly Potapenko,Wright State University,610,11608,3995,2725,418,.479,.167,.694,19.0,6.5,4.5,0.7,15.5,.064,-4.0,-5.9
1996,NBA,1,20,Zydrunas Ilgauskas,,843,22965,10976,6191,955,.476,.310,.780,27.2,13.0,7.3,1.1,66.3,.139,-0.2,10.2
1996,NBA,2,56,Reggie Geary,Arizona,101,931,209,82,110,.344,.328,.493,9.2,2.1,0.8,1.1,0.6,.032,-2.5,-0.1
1995,NBA,1,17,Bob Sura,Florida State,657,15597,5654,2240,2474,.414,.325,.689,23.7,8.6,3.4,3.8,28.3,.087,0.4,9.4
1995,NBA,2,39,Donny Marshall,UConn,119,919,293,121,36,.321,.336,.681,7.7,2.5,1.0,0.3,0.9,.045,-3.8,-0.4
1994,NBA,2,42,Gary Collier,Tulsa,,,,,,,,,,,,,,,,
1993,NBA,1,22,Chris Mills,Arizona,568,17282,6357,2808,1063,.432,.351,.817,30.4,11.2,4.9,1.9,37.7,.105,-0.5,6.8
1991,NBA,1,11,Terrell Brandon,Oregon,724,21545,9994,2174,4407,.448,.355,.873,29.8,13.8,3.0,6.1,65.9,.147,3.6,30.3
1991,NBA,2,39,Jimmy Oliver,Purdue,78,856,331,80,55,.407,.340,.772,11.0,4.2,1.0,0.7,0.3,.018,-4.7,-0.6
1990,NBA,2,52,Stefano Rusconi (↳PHO),,7,30,8,6,3,.333,,.400,4.3,1.1,0.9,0.4,-0.1,-0.104,-11.4,-0.1
1989,NBA,1,25,John Morton,Seton Hall,128,1879,609,161,342,.386,.224,.787,14.7,4.8,1.3,2.7,0.5,.013,-3.0,-0.5
1989,NBA,2,43,Chucky Brown,NC State,694,11962,4125,2148,549,.491,.227,.699,17.2,5.9,3.1,0.8,19.0,.076,-2.7,-2.0
1988,NBA,1,22,Randolph Keys,Southern Miss,241,3318,1262,551,192,.425,.272,.721,13.8,5.2,2.3,0.8,2.3,.034,-3.9,-1.6
1988,NBA,3,64,Winston Bennett,Kentucky,136,2157,648,414,120,.425,.000,.694,15.9,4.8,3.0,0.9,1.7,.037,-5.3,-1.8
1987,NBA,1,7,Kevin Johnson,California,735,25061,13127,2404,6711,.493,.305,.841,34.1,17.9,3.3,9.1,92.8,.178,3.9,37.3
1987,NBA,2,41,Kannard Johnson,Western Kentucky,4,12,2,0,0,.333,,,3.0,0.5,0.0,0.0,-0.1,-0.238,-9.7,0.0
1987,NBA,3,52,Donald Royal,Notre Dame,504,8442,3161,1431,500,.473,.000,.770,16.8,6.3,2.8,1.0,19.1,.109,-1.6,0.9
1987,NBA,4,75,Chris Dudley,Yale,886,16321,3473,5457,375,.412,.000,.458,18.4,3.9,6.2,0.4,26.2,.077,-3.0,-4.2
1987,NBA,4,80,Carven Holcombe,TCU,,,,,,,,,,,,,,,,
1987,NBA,5,98,Carl Lott,TCU,,,,,,,,,,,,,,,,
1987,NBA,6,121,Harold Jensen,Villanova,,,,,,,,,,,,,,,,
1987,NBA,7,144,Michael Foster,South Carolina,,,,,,,,,,,,,,,,
1986,NBA,1,1,Brad Daugherty,UNC,548,20029,10389,5227,2028,.532,.143,.747,36.5,19.0,9.5,3.7,65.2,.156,2.2,21.3
1986,NBA,1,8,Ron Harper,Miami University,1009,31199,13910,4309,3916,.446,.289,.720,30.9,13.8,4.3,3.9,65.8,.101,1.9,30.3
1986,NBA,2,29,Johnny Newman,Richmond,1159,28435,12740,2536,1688,.461,.336,.810,24.5,11.0,2.2,1.5,50.3,.085,-1.6,2.9
1986,NBA,3,50,Kevin Henderson,Cal State Fullerton,22,235,65,24,34,.393,.000,.607,10.7,3.0,1.1,1.5,-0.2,-0.038,-6.4,-0.3
1986,NBA,4,73,Warren Martin,UNC,,,,,,,,,,,,,,,,
1986,NBA,5,96,Ben Davis,Gardner-Webb University,,,,,,,,,,,,,,,,
1986,NBA,6,119,Gilbert Wilburn,New Mexico State,,,,,,,,,,,,,,,,
1986,NBA,7,142,Ralph Dalton,Georgetown,,,,,,,,,,,,,,,,
1985,NBA,1,9,Charles Oakley (↳CHI),Virginia Union University,1282,40280,12417,12205,3217,.471,.253,.761,31.4,9.7,9.5,2.5,89.7,.107,-0.5,15.4
1985,NBA,2,30,Calvin Duncan,VCU,,,,,,,,,,,,,,,,
1985,NBA,2,45,Hot Rod Williams,Tulane,887,26327,9784,5998,1592,.480,.105,.726,29.7,11.0,6.8,1.8,70.5,.129,1.0,19.9
1985,NBA,3,55,Herb Johnson,Tulsa,,,,,,,,,,,,,,,,
1985,NBA,4,79,Mark Davis,Old Dominion,33,258,127,37,14,.480,.100,.824,7.8,3.8,1.1,0.4,0.7,.134,-0.5,0.1
1985,NBA,5,101,Gunther Behnke,,,,,,,,,,,,,,,,,
1985,NBA,6,125,Rickie Johnson,Illinois State,,,,,,,,,,,,,,,,
1985,NBA,7,147,Buzz Peterson,UNC,,,,,,,,,,,,,,,,
1984,NBA,1,12,Tim McCormick (↳SEA ↳WSB),Michigan,483,10390,4030,2366,491,.535,.063,.703,21.5,8.3,4.9,1.0,21.5,.099,-2.0,0.0
1984,NBA,2,27,Ron Anderson,Fresno State,664,15112,7056,2312,952,.471,.287,.814,22.8,10.6,3.5,1.4,24.2,.077,-1.3,2.6
1984,NBA,3,50,Ben McDonald,University of California Irvine,176,3692,1061,568,236,.468,.227,.727,21.0,6.0,3.2,1.3,2.5,.033,-4.2,-2.1
1984,NBA,3,60,Leonard Mitchell,LSU,,,,,,,,,,,,,,,,
1984,NBA,4,73,Art Aaron,Northwestern,,,,,,,,,,,,,,,,
1984,NBA,5,96,Vince Hinchen,Boise State,,,,,,,,,,,,,,,,
1984,NBA,6,119,Matt Doherty,UNC,,,,,,,,,,,,,,,,
1984,NBA,7,142,Joe Jakubick,University of Akron,,,,,,,,,,,,,,,,
1984,NBA,8,165,Elliot Beard,Oberlin College,,,,,,,,,,,,,,,,
1984,NBA,9,187,John Shimko,Xavier,,,,,,,,,,,,,,,,
1984,NBA,10,209,Darrell Space,Northeastern Illinois University,,,,,,,,,,,,,,,,
1983,NBA,1,20,Roy Hinson,Rutgers University,507,15543,7206,3452,495,.499,.000,.741,30.7,14.2,6.8,1.0,30.2,.093,-1.1,3.4
1983,NBA,1,24,Stewart Granger,Villanova,80,996,316,78,173,.414,.235,.742,12.5,4.0,1.0,2.2,-0.1,-0.005,-4.7,-0.7
1983,NBA,2,27,John Garris,Boston College,33,267,131,77,10,.510,,.794,8.1,4.0,2.3,0.3,0.9,.166,-0.1,0.2
1983,NBA,3,50,Paul Thompson,Tulane,154,3105,1374,533,224,.432,.210,.792,20.2,8.9,3.5,1.5,4.9,.076,-0.1,1.5
1983,NBA,3,56,Larry Anderson,UNLV,,,,,,,,,,,,,,,,
1983,NBA,3,66,Les Craft,Kansas State,,,,,,,,,,,,,,,,
1983,NBA,3,67,Derrick Hord,Kentucky,,,,,,,,,,,,,,,,
1983,NBA,4,73,Dwight Jones,Cincinnati,,,,,,,,,,,,,,,,
1983,NBA,5,96,Chris Logan,Holy Cross,,,,,,,,,,,,,,,,
1983,NBA,6,119,Mel McLaughlin,Central Michigan University,,,,,,,,,,,,,,,,
1983,NBA,7,142,John Colombo,John Carroll University,,,,,,,,,,,,,,,,
1983,NBA,8,165,Larry Tucker,Lewis (IL),,,,,,,,,,,,,,,,
1983,NBA,9,187,Joe Brown,Georgia State University,,,,,,,,,,,,,,,,
1983,NBA,10,208,Jon Hanley,Xavier,,,,,,,,,,,,,,,,
1982,NBA,1,12,John Bagley,Boston College,665,17120,5802,1729,3980,.437,.241,.779,25.7,8.7,2.6,6.0,16.6,.047,-0.9,4.5
1982,NBA,2,28,Dave Magley,Kansas,14,56,12,10,2,.250,.000,.500,4.0,0.9,0.7,0.1,-0.1,-0.066,-5.0,-0.1
1982,NBA,3,47,Michael Wilson,Marquette,32,338,108,36,45,.438,.000,.750,10.6,3.4,1.1,1.4,0.3,.038,-0.8,0.1
1982,NBA,4,70,Reggie Hannah,University of South Alabama,,,,,,,,,,,,,,,,
1982,NBA,5,93,Terry White,Texas-El Paso,,,,,,,,,,,,,,,,
1982,NBA,6,116,Vince Reynolds,South Florida,,,,,,,,,,,,,,,,
