Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1972,NBA,7,104,Mike Jackson,California State University Los Angeles,,,,,,,,,,,,,,,,
1972,NBA,8,120,Henry Harris,Auburn,,,,,,,,,,,,,,,,
1971,NBA,1,7,Cliff Meely,Colorado,318,6329,2658,1703,398,.417,,.675,19.9,8.4,5.4,1.3,4.6,.035,-2.9,-0.6
1971,NBA,2,24,Mike Newlin,Utah,837,24574,12507,2494,3364,.466,,.870,29.4,14.9,3.0,4.0,50.4,.098,-0.5,7.6
1971,NBA,4,58,Tom Owens,South Carolina,488,11471,5612,3010,984,.508,,.764,23.5,11.5,6.2,2.0,32.9,.138,0.3,6.8
1971,NBA,5,75,Rudy Benjamin,Michigan State,,,,,,,,,,,,,,,,
1971,NBA,5,78,Greg Nelson,Jacksonville University,,,,,,,,,,,,,,,,
1971,NBA,6,92,Gary Reist,Rice University,,,,,,,,,,,,,,,,
1971,NBA,7,109,Eric Hill,Minnesota,,,,,,,,,,,,,,,,
1971,NBA,8,126,Rick Katherman,Duke,,,,,,,,,,,,,,,,
1971,NBA,9,142,Willie Cherry,Denver,,,,,,,,,,,,,,,,
1971,NBA,10,158,Calvin Oliver,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,
1971,NBA,11,174,Doug Rex,UC Santa Barbara,,,,,,,,,,,,,,,,
1971,NBA,12,187,Chris Schrobilgen,USC,,,,,,,,,,,,,,,,
1971,NBA,13,199,Lee McCullough,Indiana,,,,,,,,,,,,,,,,
1971,NBA,14,210,Gene Roberson,Canisius,,,,,,,,,,,,,,,,
1971,NBA,15,219,Bill Quigg,Gonzaga,,,,,,,,,,,,,,,,
1971,NBA,16,227,Leonard Jackson,Oregon,,,,,,,,,,,,,,,,
1971,NBA,17,231,Steve Sims,Pepperdine,,,,,,,,,,,,,,,,
1971,NBA,18,234,Carlos Quintanar,,,,,,,,,,,,,,,,,
1971,NBA,19,236,Gary Schneider,San Diego State,,,,,,,,,,,,,,,,
1970,NBA,1,2,Rudy Tomjanovich,Michigan,768,25714,13383,6198,1573,.501,,.784,33.5,17.4,8.1,2.0,70.4,.131,0.8,13.3
1970,NBA,2,18,Calvin Murphy,Niagara University,1002,30607,17949,2103,4402,.482,,.892,30.5,17.9,2.1,4.4,84.1,.132,0.6,15.8
1970,NBA,3,35,Curtis Perry,Missouri State,480,13656,4578,4239,906,.455,,.699,28.5,9.5,8.8,1.9,29.6,.104,0.3,5.5
1970,NBA,4,52,Jody Finney,Ohio State,,,,,,,,,,,,,,,,
1970,NBA,5,69,James Gilbert,Adams State College,,,,,,,,,,,,,,,,
1970,NBA,6,86,Mike Kretzer,East Tennessee State University,,,,,,,,,,,,,,,,
1970,NBA,7,103,Billy Paultz (↳NYA),St. John's,637,13630,5432,3553,1043,.491,,.643,21.4,8.5,5.6,1.6,26.3,.093,-0.2,6.3
1970,NBA,8,120,Don Adams,Northwestern,487,12407,4236,2732,869,.402,,.739,25.5,8.7,5.6,1.8,10.6,.041,-2.0,0.0
1970,NBA,9,137,Jim Gottschall,Dayton,,,,,,,,,,,,,,,,
1970,NBA,10,154,Toke Coleman,Eastern Kentucky University,,,,,,,,,,,,,,,,
1970,NBA,11,171,Ron Belton,Bellarmine University,,,,,,,,,,,,,,,,
1970,NBA,12,184,Jim Brooks,Nebraska,,,,,,,,,,,,,,,,
1970,NBA,13,194,Harry Lozon,Old Dominion,,,,,,,,,,,,,,,,
1970,NBA,14,204,Clyde Oatis,Aurora University,,,,,,,,,,,,,,,,
1970,NBA,15,214,Jay Bond,Washington,,,,,,,,,,,,,,,,
1970,NBA,16,223,Dean Elofson,Wayne State College,,,,,,,,,,,,,,,,
1970,NBA,17,230,Dennis Dickens,Azusa Pacific University,,,,,,,,,,,,,,,,
1970,NBA,18,234,Jeff Cunningham,University of California Irvine,,,,,,,,,,,,,,,,
1970,NBA,19,237,Rick Erickson,Washington State,,,,,,,,,,,,,,,,
1969,NBA,1,6,Bingo Smith,Tulsa,865,22407,10882,3630,1734,.449,,.798,25.9,12.6,4.2,2.0,33.3,.071,-1.1,3.5
1969,NBA,2,21,Bernie Williams,La Salle,128,1936,890,240,278,.371,,.808,15.1,7.0,1.9,2.2,-0.2,-0.005,,
1969,NBA,3,35,Charles Bonaparte,Norfolk State,,,,,,,,,,,,,,,,
1969,NBA,4,49,Johnnie Allen,Bethune-Cookman College,,,,,,,,,,,,,,,,
1969,NBA,5,63,Charles Hentz,University of Arkansas at Pine Bluff,,,,,,,,,,,,,,,,
1969,NBA,6,77,Bob Tallent,George Washington,,,,,,,,,,,,,,,,
1969,NBA,7,91,Lynn Shackelford,UCLA,,,,,,,,,,,,,,,,
1969,NBA,8,105,Bill DeHeer,Indiana,,,,,,,,,,,,,,,,
1969,NBA,9,119,Larry Cheatham,Tulsa,,,,,,,,,,,,,,,,
1969,NBA,10,133,Lee Sims,Ashland University,,,,,,,,,,,,,,,,
1969,NBA,11,147,Justus Thigpen,Weber State,19,101,48,10,8,.400,,,5.3,2.5,0.5,0.4,-0.1,-0.061,-4.8,0.0
1969,NBA,12,160,Raul Duarte,South Dakota State,,,,,,,,,,,,,,,,
1969,NBA,13,173,Joe McBride,Augusta State University,,,,,,,,,,,,,,,,
1969,NBA,14,184,Mike Heckman,University of California Irvine,,,,,,,,,,,,,,,,
1969,NBA,15,192,Jerry Nickens,Tougaloo College,,,,,,,,,,,,,,,,
1969,NBA,16,198,Dick Groves,San Jose State,,,,,,,,,,,,,,,,
1969,NBA,17,204,Steve Howell,Ohio State,,,,,,,,,,,,,,,,
1969,NBA,18,209,Joe Pridgen,NC Central,,,,,,,,,,,,,,,,
1969,NBA,19,213,Blaine Royer,Illinois State,,,,,,,,,,,,,,,,
1968,NBA,1,1,Elvin Hayes,Houston,1303,50000,27313,16279,2398,.452,,.670,38.4,21.0,12.5,1.8,120.8,.116,0.6,21.4
1968,NBA,2,15,John Trapp,UNLV,279,4895,2066,1248,283,.420,,.725,17.5,7.4,4.5,1.0,6.2,.061,,
1968,NBA,3,23,Stu Lantz,Nebraska,547,15267,6782,1820,1566,.435,,.814,27.9,12.4,3.3,2.9,32.5,.102,-2.1,-0.1
1968,NBA,4,37,Harry Barnes,Northeastern University,22,126,43,26,5,.281,,.538,5.7,2.0,1.2,0.2,-0.4,-0.154,,
1968,NBA,4,48,Darryl Jones,Benedictine College,,,,,,,,,,,,,,,,
1968,NBA,5,51,Glen Combs,Virginia Tech,,,,,,,,,,,,,,,,
1968,NBA,6,65,Eldridge Webb,Tulsa,,,,,,,,,,,,,,,,
1968,NBA,7,79,Rick Adelman,Loyola Marymount,462,10427,3579,1129,1606,.415,,.713,22.6,7.7,2.4,3.5,10.0,.046,-1.4,0.3
1968,NBA,8,93,Aaron Sellers,Jackson State University,,,,,,,,,,,,,,,,
1968,NBA,9,107,John Schetzsle,Ashland University,,,,,,,,,,,,,,,,
1968,NBA,10,121,Mike Butler,Memphis,,,,,,,,,,,,,,,,
1968,NBA,11,135,Leonidas Epps,Clark Atlanta University,,,,,,,,,,,,,,,,
1968,NBA,12,148,Roy Manning,Lane College,,,,,,,,,,,,,,,,
1968,NBA,13,161,Marshall Evans,Lincoln University of Missouri,,,,,,,,,,,,,,,,
1968,NBA,14,172,Bobby Lewis,NC State,,,,,,,,,,,,,,,,
1968,NBA,15,182,Bill Gaines,,,,,,,,,,,,,,,,,
1968,NBA,16,190,Chuck Caldwell,Missouri-St. Louis,,,,,,,,,,,,,,,,
1968,NBA,17,198,Tom Billars,Dakota Wesleyan University,,,,,,,,,,,,,,,,
1968,NBA,18,204,Harold Grant,Pepperdine,,,,,,,,,,,,,,,,
1968,NBA,19,208,Bill Corley,UConn,,,,,,,,,,,,,,,,
1967,NBA,1,7,Pat Riley (↳KEN),Kentucky,528,8187,3906,855,913,.414,,.705,15.5,7.4,1.6,1.7,4.5,.026,-4.7,-2.2
1967,NBA,2,18,Bob Netolicky,Drake University,,,,,,,,,,,,,,,,
1967,NBA,3,29,Richard Moore,Hiram Scott College,,,,,,,,,,,,,,,,
1967,NBA,3,31,Nick Jones,Oregon,188,2264,1003,216,247,.413,,.772,12.0,5.3,1.1,1.3,2.1,.046,,
