Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1993,NBA,1,2,Shawn Bradley,BYU,832,19531,6752,5268,573,.457,.103,.716,23.5,8.1,6.3,0.7,40.7,.100,-0.2,8.9
1993,NBA,2,32,Alphonso Ford,Mississippi Valley State University,11,114,35,20,10,.308,.100,.500,10.4,3.2,1.8,0.9,-0.4,-0.153,-8.4,-0.2
1992,NBA,1,9,Clarence Weatherspoon,Southern Miss,915,27736,10483,6846,1346,.471,.196,.743,30.3,11.5,7.5,1.5,58.4,.101,-0.3,11.8
1991,NBA,2,44,Alvaro Teheran,Houston,,,,,,,,,,,,,,,,
1990,NBA,2,32,Brian Oliver,Georgia Tech,118,1182,389,123,114,.388,.227,.705,10.0,3.3,1.0,1.0,-0.5,-0.020,-5.9,-1.2
1990,NBA,2,47,Derek Strong,Xavier,456,8548,3088,2213,291,.430,.180,.786,18.7,6.8,4.9,0.6,18.5,.104,-2.1,-0.3
1989,NBA,1,19,Kenny Payne,Louisville,144,1167,508,170,61,.410,.293,.859,8.1,3.5,1.2,0.4,-0.1,-0.005,-4.9,-0.9
1989,NBA,2,44,Reggie Cross,Hawaii,,,,,,,,,,,,,,,,
1989,NBA,2,54,Toney Mack,Georgia,,,,,,,,,,,,,,,,
1988,NBA,1,3,Charles Smith (↳LAC),Pitt,564,16378,8107,3246,798,.475,.194,.774,29.0,14.4,5.8,1.4,40.9,.120,-0.1,8.1
1988,NBA,2,31,Everette Stephens (↳IND),Purdue,38,215,71,23,39,.333,.200,.792,5.7,1.9,0.6,1.0,-0.4,-0.083,-4.7,-0.1
1988,NBA,3,57,Hernán Montenegro,LSU,,,,,,,,,,,,,,,,
1987,NBA,1,16,Chris Welp,Washington,109,1173,359,265,43,.446,.000,.681,10.8,3.3,2.4,0.4,1.0,.042,-5.0,-0.9
1987,NBA,2,39,Vincent Askew,Memphis,467,9361,3311,1176,1017,.479,.300,.754,20.0,7.1,2.5,2.2,22.1,.113,0.0,4.7
1987,NBA,2,43,Andrew Kennedy,Virginia,,,,,,,,,,,,,,,,
1987,NBA,3,57,Hansi Gnad,University of Alaska Anchorage,,,,,,,,,,,,,,,,
1987,NBA,3,62,Eric Riggins,Rutgers University,,,,,,,,,,,,,,,,
1987,NBA,4,85,Brian Rahilly,Tulsa,,,,,,,,,,,,,,,,
1987,NBA,5,108,Frank Ross,American University,,,,,,,,,,,,,,,,
1987,NBA,6,131,Tracy Foster,UAB,,,,,,,,,,,,,,,,
1987,NBA,7,154,Eric Semisch,West Virginia,,,,,,,,,,,,,,,,
1986,NBA,2,44,David Wingate,Georgetown,740,13243,4166,1420,1376,.445,.272,.738,17.9,5.6,1.9,1.9,11.7,.042,-2.4,-1.2
1986,NBA,3,56,Keith Colbert,Virginia Tech,,,,,,,,,,,,,,,,
1986,NBA,3,67,Ron Rowan,St. John's,7,16,12,1,1,.444,1.000,.750,2.3,1.7,0.1,0.1,0.0,.084,8.5,0.0
1986,NBA,4,90,Wes Stallings,East Tennessee State University,,,,,,,,,,,,,,,,
