Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2002,NBA,1,14,Fred Jones,Oregon,430,10299,3206,958,990,.411,.353,.809,24.0,7.5,2.2,2.3,16.5,.077,-1.0,2.6
2001,NBA,2,41,Jamison Brewer,Auburn,54,468,89,50,56,.372,.250,.393,8.7,1.6,0.9,1.0,0.0,-0.001,-2.4,0.0
2000,NBA,1,27,Primož Brezec,,342,6192,2452,1327,179,.498,.167,.701,18.1,7.2,3.9,0.5,10.8,.084,-3.1,-1.7
2000,NBA,2,56,Jaquay Walls,Colorado,,,,,,,,,,,,,,,,
1999,NBA,1,26,Vonteego Cummings (↳GSW),Pitt,199,3789,1381,373,534,.383,.321,.726,19.0,6.9,1.9,2.7,2.2,.028,-2.4,-0.3
1998,NBA,1,25,Al Harrington,,981,28009,13237,5482,1649,.444,.352,.727,28.6,13.5,5.6,1.7,42.5,.073,-1.5,3.7
1997,NBA,1,12,Austin Croshere,Providence,659,11480,4475,2649,627,.407,.340,.861,17.4,6.8,4.0,1.0,27.6,.115,-0.1,5.6
1996,NBA,1,10,Erick Dampier,Mississippi State,987,24003,7309,7005,817,.498,.125,.626,24.3,7.4,7.1,0.8,52.7,.105,-1.3,4.1
1996,NBA,2,52,Mark Pope,Kentucky,153,1634,285,261,63,.401,.179,.573,10.7,1.9,1.7,0.4,1.3,.038,-4.3,-0.9
1995,NBA,1,23,Travis Best,Georgia Tech,708,15150,5376,1249,2444,.431,.345,.835,21.4,7.6,1.8,3.5,30.9,.098,-0.4,6.0
1995,NBA,2,52,Fred Hoiberg,Iowa State,541,9978,2944,1438,846,.431,.396,.854,18.4,5.4,2.7,1.6,27.6,.133,1.2,8.0
1994,NBA,1,15,Eric Piatkowski (↳LAC),Nebraska,789,14613,5919,1716,778,.434,.399,.839,18.5,7.5,2.2,1.0,31.0,.102,0.2,7.9
1994,NBA,2,41,William Njoku,,,,,,,,,,,,,,,,,
1994,NBA,2,44,Damon Bailey,Indiana,,,,,,,,,,,,,,,,
1993,NBA,1,14,Scott Haskin,Oregon State,27,186,55,55,6,.467,,.684,6.9,2.0,2.0,0.2,0.3,.087,-2.8,0.0
1993,NBA,2,39,Thomas Hill,Duke,,,,,,,,,,,,,,,,
1993,NBA,2,51,Spencer Dunkley,University of Delaware,,,,,,,,,,,,,,,,
1992,NBA,1,14,Malik Sealy,St. John's,493,11720,4955,1585,816,.426,.292,.809,23.8,10.1,3.2,1.7,17.1,.070,-1.2,2.2
1991,NBA,1,13,Dale Davis,Clemson,1094,29606,8706,8605,978,.530,.000,.562,27.1,8.0,7.9,0.9,86.9,.141,0.5,18.4
1991,NBA,2,41,Sean Green,Iona College,84,671,352,85,45,.386,.246,.620,8.0,4.2,1.0,0.5,-1.3,-0.095,-7.0,-0.8
1990,NBA,2,45,Antonio Davis,Texas-El Paso,903,26084,9041,6755,1017,.448,.087,.727,28.9,10.0,7.5,1.1,59.6,.110,-1.3,4.4
1990,NBA,2,46,Kenny Williams,Elizabeth City State University,260,2918,1247,693,161,.511,.000,.680,11.2,4.8,2.7,0.6,7.4,.122,0.1,1.5
1989,NBA,1,7,George McCloud,Florida State,766,17429,6925,2342,1769,.402,.358,.810,22.8,9.0,3.1,2.3,24.6,.068,-0.8,5.3
1988,NBA,1,2,Rik Smits,Marist College,867,23100,12871,5277,1215,.507,.115,.773,26.6,14.8,6.1,1.4,56.6,.118,-0.2,10.4
1988,NBA,3,61,Herbert Crook,Louisville,,,,,,,,,,,,,,,,
1988,NBA,3,73,Michael Anderson,Drexel,36,730,204,89,153,.417,.143,.695,20.3,5.7,2.5,4.3,0.2,.010,-2.4,-0.1
1987,NBA,1,11,Reggie Miller,UCLA,1389,47619,25279,4182,4141,.471,.395,.888,34.3,18.2,3.0,3.0,174.4,.176,3.5,66.1
1987,NBA,2,34,Brian Rowsom,UNC Wilmington,82,1092,457,273,47,.455,.667,.818,13.3,5.6,3.3,0.6,2.4,.107,-1.6,0.1
1987,NBA,3,60,Sean Couch,Columbia University,,,,,,,,,,,,,,,,
1987,NBA,5,103,Mike Milling,UNC Charlotte,,,,,,,,,,,,,,,,
1987,NBA,6,126,Gary Graham,UNLV,,,,,,,,,,,,,,,,
1987,NBA,7,149,Montel Hatcher,UCLA,,,,,,,,,,,,,,,,
1986,NBA,1,4,Chuck Person,Auburn,943,28941,13858,4763,2645,.458,.362,.723,30.7,14.7,5.1,2.8,38.9,.065,-0.7,9.2
1986,NBA,2,26,Greg Dreiling,Kansas,474,4241,1014,1018,186,.467,.333,.649,8.9,2.1,2.1,0.4,4.0,.045,-5.3,-3.5
1986,NBA,4,72,Derrick Taylor,LSU,,,,,,,,,,,,,,,,
1986,NBA,5,95,Richard Rellford,Michigan,4,42,16,7,1,.625,,.750,10.5,4.0,1.8,0.3,0.0,.048,-1.8,0.0
1986,NBA,6,118,Jeff Hall,Louisville,,,,,,,,,,,,,,,,
1986,NBA,7,141,Steve Woodside,Oregon State,,,,,,,,,,,,,,,,
1985,NBA,1,2,Wayman Tisdale,Oklahoma,840,23868,12878,5117,1077,.505,.000,.760,28.4,15.3,6.1,1.3,45.7,.092,-1.6,2.3
1985,NBA,2,26,Bill Martin,Georgetown,84,860,397,136,58,.449,.000,.813,10.2,4.7,1.6,0.7,0.3,.016,-4.4,-0.5
1985,NBA,2,27,Dwayne McClain,Villanova,45,461,157,30,67,.383,.111,.514,10.2,3.5,0.7,1.5,-0.3,-0.026,-3.8,-0.2
1985,NBA,3,48,Kenny Patterson,DePaul,,,,,,,,,,,,,,,,
1985,NBA,4,72,Vince Hamilton,Clemson,,,,,,,,,,,,,,,,
1985,NBA,5,94,Kelvin Johnson,Richmond,,,,,,,,,,,,,,,,
1985,NBA,5,111,Ivan Daniels,University of Illinois at Chicago,,,,,,,,,,,,,,,,
1985,NBA,6,118,Stu Primus,Boston College,,,,,,,,,,,,,,,,
1985,NBA,7,140,Jeff Acres,Oral Roberts,,,,,,,,,,,,,,,,
1985,NBA,7,157,Don Turney,Marshall,,,,,,,,,,,,,,,,
1984,NBA,1,18,Vern Fleming,Georgia,893,24721,10125,3012,4293,.498,.181,.764,27.7,11.3,3.4,4.8,52.0,.101,0.4,15.3
1984,NBA,2,25,Devin Durrant,BYU,63,807,317,132,85,.414,.000,.689,12.8,5.0,2.1,1.3,-0.2,-0.012,-4.5,-0.5
1984,NBA,2,29,Stuart Gray,UCLA,386,3457,906,1020,148,.446,.000,.663,9.0,2.3,2.6,0.4,3.3,.046,-4.2,-1.9
1984,NBA,4,71,Ralph Jackson,UCLA,1,12,2,1,4,.333,,,12.0,2.0,1.0,4.0,0.0,.069,4.3,0.0
1984,NBA,5,94,Gene Smith,Georgetown,,,,,,,,,,,,,,,,
1984,NBA,6,117,Clyde Vaughan,Pitt,,,,,,,,,,,,,,,,
1984,NBA,7,140,Kenton Edelin,Virginia,10,143,11,26,10,.308,,.375,14.3,1.1,2.6,1.0,0.1,.042,-4.2,-0.1
1984,NBA,8,163,Tom Heitz,Kentucky,,,,,,,,,,,,,,,,
1984,NBA,9,185,Brian Martin,Kansas,8,21,6,4,0,.429,,.000,2.6,0.8,0.5,0.0,-0.1,-0.132,-14.2,-0.1
1984,NBA,10,207,Gary Carver,Western Kentucky,,,,,,,,,,,,,,,,
1983,NBA,1,2,Steve Stipanovich,Missouri,403,12591,5323,3131,938,.484,.179,.796,31.2,13.2,7.8,2.3,30.4,.116,0.6,8.4
1983,NBA,1,23,Mitchell Wiggins (↳CHI),Florida State,389,8105,3877,1235,609,.460,.192,.755,20.8,10.0,3.2,1.6,15.2,.090,-1.2,1.6
1983,NBA,2,26,Leroy Combs,Oklahoma State,48,446,218,56,38,.497,.000,.615,9.3,4.5,1.2,0.8,0.4,.041,-0.8,0.1
1983,NBA,2,40,Jim Thomas,Indiana,161,3361,1355,418,377,.471,.170,.763,20.9,8.4,2.6,2.3,4.9,.071,-1.4,0.5
1983,NBA,3,49,Greg Jones,West Virginia,,,,,,,,,,,,,,,,
1983,NBA,4,72,Terry Fair,Georgia,,,,,,,,,,,,,,,,
1983,NBA,5,95,Roger Stieg,Ole Miss,,,,,,,,,,,,,,,,
1983,NBA,6,118,Cliff Pruitt,UAB,,,,,,,,,,,,,,,,
1983,NBA,7,141,Tony Brown,Indiana,,,,,,,,,,,,,,,,
1983,NBA,8,164,Ray McCallum,Ball State University,,,,,,,,,,,,,,,,
1983,NBA,9,186,Lynn Mitchem,Butler,,,,,,,,,,,,,,,,
1983,NBA,10,207,Mark Smed,Augustana College (SD),,,,,,,,,,,,,,,,
1982,NBA,1,8,Clark Kellogg,Ohio State,260,8514,4918,2482,764,.497,.338,.757,32.7,18.9,9.5,2.9,20.9,.118,1.4,7.3
1982,NBA,2,40,Guy Morgan,Wake Forest,8,46,15,17,7,.292,,.250,5.8,1.9,2.1,0.9,-0.1,-0.059,-4.6,0.0
1982,NBA,2,43,Jose Slaughter,University of Portland,63,515,225,68,52,.374,.220,.644,8.2,3.6,1.1,0.8,-0.1,-0.007,-4.2,-0.3
1982,NBA,4,77,Jeff Jones,Virginia,,,,,,,,,,,,,,,,
