Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1961,NBA,1,5,Wayne Yates,Memphis,37,263,72,94,16,.295,,.455,7.1,1.9,2.5,0.4,-0.5,-0.085,,
1961,NBA,2,18,Fred Sawyer,Louisville,,,,,,,,,,,,,,,,
1961,NBA,3,27,Frank Burgess,Gonzaga,,,,,,,,,,,,,,,,
1961,NBA,4,36,Charles Henke,Missouri,,,,,,,,,,,,,,,,
1961,NBA,5,45,Bill Lickert,Kentucky,,,,,,,,,,,,,,,,
1961,NBA,6,54,Bill McClintock,California,,,,,,,,,,,,,,,,
1961,NBA,7,63,Albert Almanza,Texas,,,,,,,,,,,,,,,,
1961,NBA,8,72,Bill Ellis,UCLA,,,,,,,,,,,,,,,,
1961,NBA,9,80,Karl Anderson,Oregon State,,,,,,,,,,,,,,,,
1961,NBA,10,87,Fred Williams,Allan Hancock College,,,,,,,,,,,,,,,,
1961,NBA,11,95,Howard Hurt,Duke,,,,,,,,,,,,,,,,
1960,NBA,1,2,Jerry West,West Virginia,932,36571,25192,5366,6238,.474,,.814,39.2,27.0,5.8,6.7,162.6,.213,4.7,1.6
1960,NBA,3,18,Jim Hagan,Tennessee Technological University,,,,,,,,,,,,,,,,
1960,NBA,4,26,Wally Frank,Kansas State,,,,,,,,,,,,,,,,
1960,NBA,4,27,Ben Warley,Tennessee State,288,4656,1767,1524,204,.413,,.724,16.2,6.1,5.3,0.7,8.0,.083,,
1960,NBA,5,34,George Farley,Cornell,,,,,,,,,,,,,,,,
1960,NBA,6,42,Bobby Goodall,Tulsa,,,,,,,,,,,,,,,,
1960,NBA,7,50,Howard Jolliff,Ohio University,138,1739,388,586,112,.367,,.527,12.6,2.8,4.2,0.8,0.8,.022,,
1960,NBA,8,57,John Werhas,USC,,,,,,,,,,,,,,,,
1960,NBA,9,64,Jean-Claude Lefebvre,Gonzaga,,,,,,,,,,,,,,,,
1960,NBA,10,71,Dick Harvey,Creighton,,,,,,,,,,,,,,,,
1960,NBA,11,76,Sterling Forbes,Pepperdine,,,,,,,,,,,,,,,,
1960,NBA,12,81,Wil Jones,American University,,,,,,,,,,,,,,,,
1959,NBA,1,4,Tom Hawkins,Notre Dame,764,18465,6672,4607,871,.447,,.570,24.2,8.7,6.0,1.1,24.1,.063,,
1959,NBA,2,12,Rudy LaRusso,Dartmouth College,736,24487,11507,6936,1556,.431,,.767,33.3,15.6,9.4,2.1,61.4,.120,,
1959,NBA,3,20,Bobby Smith,West Virginia,13,137,37,33,14,.236,,.688,10.5,2.8,2.5,1.1,-0.3,-0.097,,
1959,NBA,4,28,Wilson Eison,Purdue,,,,,,,,,,,,,,,,
1959,NBA,5,36,Bobby Joe Mason,Bradley,,,,,,,,,,,,,,,,
1959,NBA,6,44,Jim Henry,Vanderbilt,,,,,,,,,,,,,,,,
1959,NBA,7,52,Charley Grote,Georgetown College,,,,,,,,,,,,,,,,
1959,NBA,8,59,Leon Hill,Texas Tech,,,,,,,,,,,,,,,,
1959,NBA,9,65,Jim Mudd,University of North Texas,,,,,,,,,,,,,,,,
1959,NBA,10,71,Roger Johnson,Minnesota,,,,,,,,,,,,,,,,
1959,NBA,11,77,Jack Evans,Lake Superior State University,,,,,,,,,,,,,,,,
1959,NBA,12,81,Vern Baggenstoss,St. Cloud State University,,,,,,,,,,,,,,,,
1959,NBA,13,83,Dwayne Smith,Gustavus Adolphus,,,,,,,,,,,,,,,,
1958,NBA,1,1,Elgin Baylor,Seattle University,846,33863,23149,11463,3650,.431,,.780,40.0,27.4,13.5,4.3,104.2,.148,,
