Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1978,NBA,8,157,Earl Evans,UNLV,36,381,157,75,37,.450,.389,.571,10.6,4.4,2.1,1.0,0.1,.015,-4.0,-0.2
1978,NBA,9,174,Ulice Payne,Marquette,,,,,,,,,,,,,,,,
1978,NBA,10,189,Dave Grauzer,Central Michigan University,,,,,,,,,,,,,,,,
1977,NBA,2,36,Ben Poquette,Central Michigan University,718,15763,4899,3731,872,.483,,.779,22.0,6.8,5.2,1.2,30.4,.093,-0.7,5.3
1977,NBA,3,58,John Irving,Hofstra,,,,,,,,,,,,,,,,
1977,NBA,4,80,Bruce King,Iowa,,,,,,,,,,,,,,,,
1977,NBA,5,102,Jim Kennedy,Missouri,,,,,,,,,,,,,,,,
1977,NBA,6,124,Herb Nobles,Kansas,,,,,,,,,,,,,,,,
1977,NBA,7,144,Robert Lewis,Johnson C. Smith University,,,,,,,,,,,,,,,,
1977,NBA,8,163,Tim Appleton,Kenyon College,,,,,,,,,,,,,,,,
1976,NBA,1,4,Leon Douglas,Alabama,456,10111,3587,2954,479,.495,,.601,22.2,7.9,6.5,1.1,15.2,.072,-3.0,-2.4
1976,NBA,3,38,Phil Sellers,Rutgers University,44,329,198,41,25,.384,,.722,7.5,4.5,0.9,0.6,0.0,-0.007,-5.0,-0.3
1976,NBA,4,55,Scott Thompson,Iowa,,,,,,,,,,,,,,,,
1976,NBA,5,72,Jim Hearns,Marymount College,,,,,,,,,,,,,,,,
1976,NBA,6,90,Russell Davis,Virginia Tech,,,,,,,,,,,,,,,,
1976,NBA,7,108,Curt Peterson,University of Puget Sound,,,,,,,,,,,,,,,,
1976,NBA,8,126,Randy Henry,Illinois State,,,,,,,,,,,,,,,,
1976,NBA,9,144,Bill Martin,Hartwick College,,,,,,,,,,,,,,,,
1976,NBA,10,161,Bob Johnson,Wisconsin,,,,,,,,,,,,,,,,
1975,NBA,2,27,Walter Luckett,Ohio University,,,,,,,,,,,,,,,,
1975,NBA,3,44,Pete Trgovich,UCLA,,,,,,,,,,,,,,,,
1975,NBA,4,64,Lindsay Hairston,Michigan State,47,651,273,179,21,.456,,.580,13.9,5.8,3.8,0.4,1.0,.075,-1.7,0.1
1975,NBA,5,81,Cliff Pratt,Shaw,,,,,,,,,,,,,,,,
1975,NBA,6,98,Allen Spruill,North Carolina A&T,,,,,,,,,,,,,,,,
1975,NBA,7,118,Ike Williams,Armstrong Atlantic State University,,,,,,,,,,,,,,,,
1975,NBA,8,135,John Kelley,Dillard University,,,,,,,,,,,,,,,,
1975,NBA,9,151,Terry Thomas,Detroit Mercy,28,136,77,36,3,.431,,.724,4.9,2.8,1.3,0.1,0.2,.082,-3.7,-0.1
1975,NBA,10,169,Mickey Fox,Saint Mary's University,,,,,,,,,,,,,,,,
1974,NBA,1,15,Al Eberhard (↳SSL),Missouri,220,4138,1490,760,175,.433,,.797,18.8,6.8,3.5,0.8,5.3,.062,-2.5,-0.5
